APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,member_id,provider,code,subtype
105,Finance:Small Business,exelate,1,,,39,exelate,6,Interest
110,Age:18-24,exelate,0.5,,,39,exelate,18,Demographic
111,Age:25-34,exelate,0.5,,,39,exelate,19,Demographic
112,Age:35-44,exelate,0.5,,,39,exelate,20,Demographic
113,Age:45-54,exelate,0.5,,,39,exelate,21,Demographic
114,Age:55-64,exelate,0.5,,,39,exelate,22,Demographic
115,Age:65+,exelate,0.5,,,39,exelate,23,Demographic
39256,Career:Management and Business,exelate,0.5,,,39,exelate,346,Demographic
39258,Career:Marketing and Advertising,exelate,0.5,,,39,exelate,348,Demographic
39259,Career:Media and Communication,exelate,0.5,,,39,exelate,349,Demographic
39267,Career:Sales and Sales Management,exelate,0.5,,,39,exelate,360,Demographic
79428,Chapstick chpst id 4466,Lotame,,,,422,,,
80017,Medical Business Pros id 4535,Lotame,,,,422,,,
81213,Cigar Lovers,DNU,,,,796,,,Old
85033,Bizo:Professional:Finance Professionals,exelate,1.5,,,39,exelate,,interest
85035,Bizo:Professional:IT Professionals,exelate,1.5,,,39,exelate,,interest
85036,Bizo:Professional:Small Business Owners,exelate,1.5,,,39,exelate,,interest
105597,Women 35+ id 4838,Lotame,,,,422,,,
105829,Men 35+ id 4837,Lotame,,,,422,,,
105830,A 18-34 id 4839,Lotame,,,,422,,,
105965,Behavioral:Art,Lotame,0.75,,,422,,3936,
105966,Behavioral:Art:Books & Magazines,Lotame,0.75,,,422,,3831,
105967,Behavioral:Art:Photography,Lotame,0.75,,,422,,3819,
105968,Behavioral:Movies,Lotame,0.75,,,422,,2718,
105969,Behavioral:Movies:Action & Adventure,Lotame,0.75,,,422,,3854,
105970,Behavioral:Movies:Children & Family,Lotame,0.75,,,422,,3855,
105971,Behavioral:Movies:Comedy,Lotame,0.75,,,422,,3856,
105972,Behavioral:Movies:Drama,Lotame,0.75,,,422,,3857,
105973,Behavioral:Movies:Romance,Lotame,0.75,,,422,,5040,
105974,Behavioral:Movies:Sci-Fi,Lotame,0.75,,,422,,3858,
105975,Behavioral:Music,Lotame,0.75,,,422,,2723,
105976,Behavioral:Music:Hip Hop & Rap,Lotame,0.75,,,422,,3860,
105977,Behavioral:Music:Country,Lotame,0.75,,,422,,5045,
105978,Behavioral:Music:Pop,Lotame,0.75,,,422,,3859,
105979,Behavioral:Music:Rock,Lotame,0.75,,,422,,3861,
105980,Behavioral:Pop Cultre & Celebrity Gossip,Lotame,0.75,,,422,,3834,
105981,Behavioral:Television,Lotame,0.75,,,422,,2719,
105982,Behavioral:Television:Animation & Cartoons,Lotame,0.75,,,422,,3836,
