APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,subtype
141413,Spanish Speakers,exelate,0.5,null,null,null
141414,Shopping:Fashion,exelate,1,null,null,null
141415,Urban,exelate,0.5,null,null,null
141416,Shopping:Personal Tech,exelate,1,null,null,null
141417,Finance:Small Business,exelate,1,null,null,null
141418,Travel,exelate,1,null,null,null
141419,Gender:Male,exelate,0.5,null,null,Demographic
141420,Gender:Female,exelate,0.5,null,null,Demographic
141421,Age:18-24,exelate,0.5,null,null,Demographic
141422,Age:25-34,exelate,0.5,null,null,Demographic
141423,Age:35-44,exelate,0.5,null,null,Demographic
141424,Age:45-54,exelate,0.5,null,null,Demographic
141425,Age:55-64,exelate,0.5,null,null,Demographic
141426,Age:65+,exelate,0.5,null,null,Demographic
141427,Sports,exelate,0.85,null,null,null
141428,Entertainment,exelate,0.85,null,null,null
141429,Shopping:Music,exelate,1,null,null,null
141430,Auto:Enthusiasts,exelate,0.85,null,null,null
141431,Diet and Fitness,exelate,0.85,null,null,null
141432,Singles,exelate,0.5,null,null,null
141433,Travel:Accommodation,exelate,1,null,null,null
141434,Travel:USA,exelate,1,null,null,null
141435,Travel:Europe,exelate,1,null,null,null
141436,Travel:Mexico-Caribbean-Central America,exelate,1,null,null,null
141437,Travel:USA:Florida,exelate,1,null,null,null
141438,Travel:USA:California,exelate,1,null,null,null
141439,Travel:USA:Hawaii,exelate,1,null,null,null
141440,Travel:USA:New York,exelate,1,null,null,null
141441,Travel:USA:Nevada,exelate,1,null,null,null
141442,Auto:Buyers,exelate,1,null,null,null
141443,Auto:Buyers:All:New,exelate,1,null,null,null
141444,Auto:Buyers:All:Used,exelate,1,null,null,null
141445,Auto:Buyers:Compact,exelate,1,null,null,null
141446,Auto:Buyers:Convertible,exelate,1,null,null,null
141447,Auto:Buyers:Coupes,exelate,1,null,null,null
141448,Auto:Buyers:Diesel,exelate,1,null,null,null
141449,Auto:Buyers:Hatchback,exelate,1,null,null,null
141450,Auto:Buyers:Hybrid,exelate,1,null,null,null
141451,Auto:Buyers:Luxury,exelate,1,null,null,null
