ProvinceName,MetroName,MetroCode,CriteriaId
Alabama,Atlanta GA,524,200524
Alabama,Birmingham AL,630,200630
Alabama,Columbus GA,522,200522
Alabama,Columbus-Tupelo-West Point MS,673,200673
Alabama,Dothan AL,606,200606
Alabama,Huntsville-Decatur (Florence) AL,691,200691
Alabama,Meridian MS,711,200711
Alabama,Mobile AL-Pensacola (Ft. Walton Beach) FL,686,200686
Alabama,Montgomery (Selma) AL,698,200698
Alaska,Anchorage AK,743,200743
Alaska,Fairbanks AK,745,200745
Alaska,Juneau AK,747,200747
Arizona,Albuquerque-Santa Fe NM,790,200790
Arizona,Phoenix AZ,753,200753
Arizona,Tucson (Sierra Vista) AZ,789,200789
Arizona,Yuma AZ-El Centro CA,771,200771
Arkansas,Ft. Smith-Fayetteville-Springdale-Rogers AR,670,200670
Arkansas,Greenwood-Greenville MS,647,200647
Arkansas,Jonesboro AR,734,200734
Arkansas,Little Rock-Pine Bluff AR,693,200693
Arkansas,Memphis TN,640,200640
Arkansas,Monroe LA-El Dorado AR,628,200628
Arkansas,Shreveport LA,612,200612
Arkansas,Springfield MO,619,200619
California,Bakersfield CA,800,200800
California,Chico-Redding CA,868,200868
California,Eureka CA,802,200802
California,Fresno-Visalia CA,866,200866
California,Los Angeles CA,803,200803
California,Medford-Klamath Falls OR,813,200813
California,Monterey-Salinas CA,828,200828
California,Palm Springs CA,804,200804
California,Phoenix AZ,753,200753
California,Reno NV,811,200811
California,Sacramento-Stockton-Modesto CA,862,200862
California,San Diego CA,825,200825
California,San Francisco-Oakland-San Jose CA,807,200807
California,Santa Barbara-Santa Maria-San Luis Obispo CA,855,200855
California,Yuma AZ-El Centro CA,771,200771
Colorado,Albuquerque-Santa Fe NM,790,200790
Colorado,Colorado Springs-Pueblo CO,752,200752
Colorado,Denver CO,751,200751
Colorado,Grand Junction-Montrose CO,773,200773
Connecticut,Hartford & New Haven CT,533,200533
Connecticut,New York NY,501,200501
Delaware,Philadelphia PA,504,200504
Delaware,Salisbury MD,576,200576
District of Columbia,Washington DC (Hagerstown MD),511,200511
Florida,Ft. Myers-Naples FL,571,200571
Florida,Gainesville FL,592,200592
Florida,Jacksonville FL,561,200561
Florida,Miami-Ft. Lauderdale FL,528,200528
Florida,Mobile AL-Pensacola (Ft. Walton Beach) FL,686,200686
Florida,Orlando-Daytona Beach-Melbourne FL,534,200534
Florida,Panama City FL,656,200656
Florida,Tallahassee FL-Thomasville GA,530,200530
Florida,Tampa-St. Petersburg (Sarasota) FL,539,200539
Florida,West Palm Beach-Ft. Pierce FL,548,200548
Georgia,Albany GA,525,200525
Georgia,Atlanta GA,524,200524
Georgia,Augusta GA,520,200520
Georgia,Chattanooga TN,575,200575
Georgia,Columbus GA,522,200522
Georgia,Dothan AL,606,200606
Georgia,Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,200567
Georgia,Jacksonville FL,561,200561
Georgia,Macon GA,503,200503
Georgia,Savannah GA,507,200507
Georgia,Tallahassee FL-Thomasville GA,530,200530
Hawaii,Honolulu HI,744,200744
Idaho,Boise ID,757,200757
Idaho,Idaho Falls-Pocatello ID,758,200758
Idaho,Salt Lake City UT,770,200770
Idaho,Spokane WA,881,200881
Idaho,Twin Falls ID,760,200760
Illinois,"Champaign & Springfield-Decatur,IL",648,200648
Illinois,Chicago IL,602,200602
Illinois,Davenport IA-Rock Island-Moline IL,682,200682
Illinois,Evansville IN,649,200649
Illinois,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,200632
Illinois,Peoria-Bloomington IL,675,200675
Illinois,Quincy IL-Hannibal MO-Keokuk IA,717,200717
Illinois,Rockford IL,610,200610
Illinois,St. Louis MO,609,200609
Illinois,Terre Haute IN,581,200581
Indiana,Chicago IL,602,200602
Indiana,Cincinnati OH,515,200515
Indiana,Dayton OH,542,200542
Indiana,Evansville IN,649,200649
Indiana,Ft. Wayne IN,509,200509
Indiana,Indianapolis IN,527,200527
Indiana,Lafayette IN,582,200582
Indiana,Louisville KY,529,200529
Indiana,South Bend-Elkhart IN,588,200588
Indiana,Terre Haute IN,581,200581
Iowa,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,200637
Iowa,Davenport IA-Rock Island-Moline IL,682,200682
Iowa,Des Moines-Ames IA,679,200679
Iowa,Mankato MN,737,200737
Iowa,Omaha NE,652,200652
Iowa,Ottumwa IA-Kirksville MO,631,200631
Iowa,Quincy IL-Hannibal MO-Keokuk IA,717,200717
Iowa,Rochester MN-Mason City IA-Austin MN,611,200611
Iowa,Sioux City IA,624,200624
Iowa,Sioux Falls(Mitchell) SD,725,200725
Kansas,Amarillo TX,634,200634
Kansas,Joplin MO-Pittsburg KS,603,200603
Kansas,Kansas City MO,616,200616
Kansas,Lincoln & Hastings-Kearney NE,722,200722
Kansas,St. Joseph MO,638,200638
Kansas,Topeka KS,605,200605
Kansas,Tulsa OK,671,200671
Kansas,Wichita-Hutchinson KS,678,200678
Kentucky,Bowling Green KY,736,200736
Kentucky,Charleston-Huntington WV,564,200564
Kentucky,Cincinnati OH,515,200515
Kentucky,Evansville IN,649,200649
Kentucky,Knoxville TN,557,200557
Kentucky,Lexington KY,541,200541
Kentucky,Louisville KY,529,200529
Kentucky,Nashville TN,659,200659
Kentucky,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,200632
Kentucky,Tri-Cities TN-VA,531,200531
Louisiana,Alexandria LA,644,200644
Louisiana,Baton Rouge LA,716,200716
Louisiana,Lafayette LA,642,200642
Louisiana,Lake Charles LA,643,200643
Louisiana,Monroe LA-El Dorado AR,628,200628
Louisiana,New Orleans LA,622,200622
Louisiana,Shreveport LA,612,200612
Maine,Bangor ME,537,200537
Maine,Portland-Auburn ME,500,200500
Maine,Presque Isle ME,552,200552
Maryland,Baltimore MD,512,200512
Maryland,Pittsburgh PA,508,200508
Maryland,Salisbury MD,576,200576
Maryland,Washington DC (Hagerstown MD),511,200511
Massachusetts,Albany-Schenectady-Troy NY,532,200532
Massachusetts,Boston MA-Manchester NH,506,200506
Massachusetts,Providence RI-New Bedford MA,521,200521
Massachusetts,Springfield-Holyoke MA,543,200543
Michigan,Alpena MI,583,200583
Michigan,Detroit MI,505,200505
Michigan,Duluth MN-Superior WI,676,200676
Michigan,Flint-Saginaw-Bay City MI,513,200513
Michigan,Grand Rapids-Kalamazoo-Battle Creek MI,563,200563
Michigan,Green Bay-Appleton WI,658,200658
Michigan,Lansing MI,551,200551
Michigan,Marquette MI,553,200553
Michigan,South Bend-Elkhart IN,588,200588
Michigan,Toledo OH,547,200547
Michigan,Traverse City-Cadillac MI,540,200540
Minnesota,Duluth MN-Superior WI,676,200676
Minnesota,Fargo-Valley City ND,724,200724
Minnesota,La Crosse-Eau Claire WI,702,200702
Minnesota,Mankato MN,737,200737
Minnesota,Minneapolis-St. Paul MN,613,200613
Minnesota,Rochester MN-Mason City IA-Austin MN,611,200611
Minnesota,Sioux Falls(Mitchell) SD,725,200725
Mississippi,Baton Rouge LA,716,200716
Mississippi,Biloxi-Gulfport MS,746,200746
Mississippi,Columbus-Tupelo-West Point MS,673,200673
Mississippi,Greenwood-Greenville MS,647,200647
Mississippi,Hattiesburg-Laurel MS,710,200710
Mississippi,Jackson MS,718,200718
Mississippi,Memphis TN,640,200640
Mississippi,Meridian MS,711,200711
Mississippi,Mobile AL-Pensacola (Ft. Walton Beach) FL,686,200686
Mississippi,New Orleans LA,622,200622
Missouri,Columbia-Jefferson City MO,604,200604
Missouri,Des Moines-Ames IA,679,200679
